"Date","FIPS","Completeness_pct","SVI_CTGY","Census2019","tVaccMi"
2022-05-14,"48097",98.9,"C",41257,797.017803947994
2022-05-14,"48189",98.9,"D",33406,989.773415015984
2022-05-14,"48393",98.9,"A",854,890.091350624379
2022-05-14,"51083",79,"C",33911,484.722076167806
2022-05-14,"53043",96,"A",10939,1730.12387605262
2022-05-14,"53053",96,"B",904980,1897.21593457882
2022-05-14,"55013",96.8,"A",15414,649.670991702178
2022-05-14,"55031",96.8,"B",43150,672.443912245139
2022-05-14,"55035",96.8,"A",104646,556.876104564806
2022-05-14,"55047",96.8,"B",18913,447.917115249243
2022-05-14,"55141",96.8,"A",72999,511.530378456476
2022-05-14,"54025",97.2,"C",34662,396.57777965408
2022-05-14,"56011",97.1,"A",7584,1050.10220262951
2022-05-14,"02185",97.6,"C",9832,3254.5955264596
2022-05-14,"02068",97.6,"A",2097,3122.21091506535
2022-05-14,"02130",97.6,"C",13901,2389.15247744881
2022-05-14,"02220",97.6,"B",8493,2570.88088315153
2022-05-14,NA,97.6,"A",1183,NA
2022-05-14,"01083",92.5,"C",98915,286.454329743885
2022-05-14,"01127",92.5,"C",63521,351.839425781418
2022-05-14,"06039",97.6,"D",157327,1853.53279431445
2022-05-14,"06043",NA,"C",17203,1855.6572277915
2022-05-14,"06057",97.6,"A",99755,1868.64188303556
2022-05-14,"08045",97.1,"B",60061,1202.3757795452
2022-05-14,"08061",97.1,"B",1406,944.312621559109
2022-05-14,"08079",97.1,"A",769,1170.70112928114
2022-05-14,"09001",98.3,"B",943332,724.667470685418
2022-05-14,"13079",89.4,"C",12404,390.871930764684
2022-05-14,"13297",89.4,"B",94593,334.73711717058
2022-05-14,"13313",89.4,"D",104628,254.83624601471
2022-05-14,"19145",97.4,"B",15107,556.447167063788
2022-05-14,"17115",98.3,"C",104009,314.07657113995
2022-05-14,"17171",98.3,"A",4951,358.744987225473
2022-05-14,"18053",98.6,"C",65769,282.888050362931
2022-05-14,"20037",93.6,"C",38818,566.751114481709
2022-05-14,"20055",93.6,"D",36467,845.903739837127
2022-05-14,"22005",96.9,"B",126604,672.281862963306
2022-05-14,"25011",89.9,"A",70180,781.40852874607
2022-05-14,"27061",94.6,"B",45130,773.205475404352
2022-05-14,"27075",94.6,"A",10641,726.8775668267
2022-05-14,"27157",94.6,"A",21627,553.539673076223
2022-05-14,"29071",91.3,"A",103967,389.818661940926
2022-05-14,"29107",91.3,"B",32708,496.697102832007
2022-05-14,"29186",91.3,"A",17894,360.79718255699
2022-05-14,"29215",91.3,"D",25398,447.540818519161
2022-05-14,"28113",98.1,"D",39288,600.11282065158
2022-05-14,"28155",98.1,"C",9689,433.823881316296
2022-05-14,"30073",95.8,"D",5911,1464.63820390114
2022-05-14,"37019",96.9,"B",142820,584.922025722617
2022-05-14,"37073",96.9,"B",11562,598.558949769782
2022-05-14,"38017",92.7,"A",181923,846.540492663619
2022-05-14,"38065",92.7,"A",1959,997.495587920301
2022-05-14,"31011",90.7,"A",5192,703.229197299593
2022-05-14,"31047",90.7,"D",23595,785.267153218061
2022-05-14,"31115",90.7,"A",664,774.514602078567
2022-05-14,"35006",97,"D",26675,1275.89408739417
2022-05-14,"32011",95,"A",2029,1627.25643854108
2022-05-14,"39049",98.5,"C",1316756,306.396768635583
2022-05-14,"40049",93.8,"C",27711,759.613762558937
2022-05-14,"40053",93.8,"A",4333,718.73133921224
2022-05-14,"41023",97.8,"C",7199,1734.02043360299
2022-05-14,"45013",93.1,"B",192122,515.756915627874
2022-05-14,"46021",96.7,"A",1376,890.66532739041
2022-05-14,"46089",96.7,"B",2379,862.32969043541
2022-05-14,"48043",98.9,"C",9203,1222.52216625852
2022-05-14,"48299",98.9,"B",21795,981.456747443606
2022-05-14,"48371",98.9,"D",15823,1159.18615545045
2022-05-14,"48377",98.9,"D",6704,1259.56895097212
2022-05-14,"51153",79,"B",470335,517.763671912757
2022-05-14,"51183",79,"D",11159,560.12165799103
2022-05-14,"53035",96,"B",271473,1922.96154867367
2022-05-14,"53065",96,"B",45723,1717.16868207304
2022-05-14,"55093",96.8,"A",42754,582.472352881652
2022-05-14,"55111",96.8,"A",64442,447.361537317596
2022-05-14,"54033",97.2,"B",67256,391.010162965666
2022-05-14,"56009",97.1,"A",13822,1069.8673969426
2022-05-14,"56013",97.1,"C",39261,1223.18445456141
2022-05-14,"01059",92.5,"D",31362,338.533576421617
2022-05-14,"01113",92.5,"D",57961,409.015094430405
2022-05-14,"04001",97.7,"D",71887,1343.69850030673
2022-05-14,"04003",97.7,"D",125922,1449.59632387693
2022-05-14,"08039",97.1,"A",26729,1009.31739038254
2022-05-14,"08065",97.1,"B",8127,1124.09053763727
2022-05-14,"08109",97.1,"D",6824,1130.18484234342
2022-05-14,"13115",89.4,"D",98498,280.082372467502
2022-05-14,"13245",89.4,"D",202518,412.166443389975
2022-05-14,"19189",97.4,"A",10354,556.3147694903
2022-05-14,"16023",97.8,"A",2597,1451.23776082687
2022-05-14,"16037",97.8,"B",4315,1504.02437721531
2022-05-14,"17047",98.3,"A",6395,274.986408916093
2022-05-14,"17159",98.3,"B",15513,278.488212445345
2022-05-14,"18013",98.6,"A",15092,257.06927704423
2022-05-14,"18025",98.6,"B",10577,223.336242364193
2022-05-14,"20047",93.6,"B",2798,771.285368249979
2022-05-14,"20117",93.6,"A",9707,622.704681048092
2022-05-14,"20189",93.6,"C",5485,885.411857412372
